"result_id","tier","dataset","analysis_population","analysis","outcome","comparison_or_metric","effect_measure","estimate","lower_95","upper_95","p_value","n","events","display_value","destination","submission_status","amendment"
"EICU_ICU_P1","Sensitivity","eICU-CRD v2.0","APACHE-adjusted ICU random-intercept","APACHE-adjusted ICU random-intercept","ICU mortality","P1 vs P3 OR","OR",1.28241833338942,1.07208641956712,1.53401512396487,0.0064971839739451,13234,1222,"1.28 (1.07<U+2013>1.53)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_ICU_P2","Sensitivity","eICU-CRD v2.0","APACHE-adjusted ICU random-intercept","APACHE-adjusted ICU random-intercept","ICU mortality","P2 vs P3 OR","OR",1.15592486643917,0.953383220558746,1.40149550363318,0.140404080427363,13234,1222,"1.16 (0.95<U+2013>1.40)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendments 17<U+2013>18"
"STRUCT_EICU_CLARA_P1","Structural sensitivity","eICU-CRD v2.0","Primary six-feature-complete cohort, relabelled under the stated structural variant","CLARA K-medoids","In-hospital mortality","P1 vs P3","OR",1.57707474038684,1.36588602490807,1.820916746647,5.27064851783024e-10,13234,1990,"1.58 (1.37<U+2013>1.82)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_EICU_CLARA_P2","Structural sensitivity","eICU-CRD v2.0","Primary six-feature-complete cohort, relabelled under the stated structural variant","CLARA K-medoids","In-hospital mortality","P2 vs P3","OR",1.17003503133619,1.00716728725472,1.35923991165894,0.040035176313983,13234,1990,"1.17 (1.01<U+2013>1.36)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_EICU_GMM_P1","Structural sensitivity","eICU-CRD v2.0","Primary six-feature-complete cohort, relabelled under the stated structural variant","Gaussian mixture","In-hospital mortality","P1 vs P3","OR",1.42330937472416,1.24763208423661,1.62372353338221,1.50668660906405e-07,13234,1990,"1.42 (1.25<U+2013>1.62)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_EICU_GMM_P2","Structural sensitivity","eICU-CRD v2.0","Primary six-feature-complete cohort, relabelled under the stated structural variant","Gaussian mixture","In-hospital mortality","P2 vs P3","OR",1.70273109450559,1.46059003676364,1.98501503311662,1.04122077683847e-11,13234,1990,"1.70 (1.46<U+2013>1.99)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_EICU_NLR5_P1","Structural sensitivity","eICU-CRD v2.0","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature NLR only","In-hospital mortality","P1 vs P3","OR",1.17580540415157,1.01711014397482,1.35926119370831,0.0285717988431007,13234,1990,"1.18 (1.02<U+2013>1.36)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_EICU_NLR5_P2","Structural sensitivity","eICU-CRD v2.0","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature NLR only","In-hospital mortality","P2 vs P3","OR",1.26697998072741,1.10349245608718,1.45468894029052,0.000787578520318624,13234,1990,"1.27 (1.10<U+2013>1.45)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_EICU_SII5_P1","Structural sensitivity","eICU-CRD v2.0","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature SII only","In-hospital mortality","P1 vs P3","OR",1.20941538376533,1.04827663569731,1.39532402104458,0.00915356566133901,13234,1990,"1.21 (1.05<U+2013>1.40)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_EICU_SII5_P2","Structural sensitivity","eICU-CRD v2.0","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature SII only","In-hospital mortality","P2 vs P3","OR",1.31927482333167,1.14814936426645,1.51590560744578,9.26773420000887e-05,13234,1990,"1.32 (1.15<U+2013>1.52)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"EICU_HIGHINFO_RI_P1","Hospital heterogeneity","eICU-CRD v2.0","17 high-information hospitals random-intercept","17 high-information hospitals random-intercept","In-hospital mortality","P1 vs P3 OR","OR",1.31609280685626,1.06312332494005,1.6292562072763,0.0116672049344634,4949,869,"1.32 (1.06<U+2013>1.63)","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_LOO_OR_MAX","Hospital heterogeneity","eICU-CRD v2.0","leave-one-hospital-out meta-analysis","leave-one-hospital-out meta-analysis","ICU mortality","maximum pooled P1 vs P3 OR","OR",1.42003709964127,,,,3602,622,"1.420","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_LOO_OR_MIN","Hospital heterogeneity","eICU-CRD v2.0","leave-one-hospital-out meta-analysis","leave-one-hospital-out meta-analysis","ICU mortality","minimum pooled P1 vs P3 OR","OR",1.27768494122664,,,,3602,622,"1.278","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_META_I2","Hospital heterogeneity","eICU-CRD v2.0","17 high-information hospitals REML Hartung-Knapp","17 high-information hospitals REML Hartung-Knapp","ICU mortality","I-squared percent","percent",19.4709002225223,,,,3602,622,"19.47","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_META_P1","Hospital heterogeneity","eICU-CRD v2.0","17 high-information hospitals REML Hartung-Knapp","17 high-information hospitals REML Hartung-Knapp","ICU mortality","P1 vs P3 pooled OR","OR",1.34989868290566,1.01868950132453,1.78879477185259,0.0381700191567434,3602,622,"1.35 (1.02<U+2013>1.79)","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_META_PREDICTION_HIGH","Hospital heterogeneity","eICU-CRD v2.0","17 high-information hospitals REML Hartung-Knapp","17 high-information hospitals REML Hartung-Knapp","ICU mortality","prediction interval upper bound","value",2.38494385387056,,,,3602,622,"2.385","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_META_PREDICTION_LOW","Hospital heterogeneity","eICU-CRD v2.0","17 high-information hospitals REML Hartung-Knapp","17 high-information hospitals REML Hartung-Knapp","ICU mortality","prediction interval lower bound","value",0.764054235974202,,,,3602,622,"0.764","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_META_TAU2","Hospital heterogeneity","eICU-CRD v2.0","17 high-information hospitals REML Hartung-Knapp","17 high-information hospitals REML Hartung-Knapp","ICU mortality","tau-squared","tau-squared",0.0544454806331605,,,,3602,622,"0.054","Main Results briefly; supplementary table","SUPPORTIVE","Amendments 17<U+2013>18"
"EICU_RANDOM_SLOPE_LRT","Diagnostic","eICU-CRD v2.0","all-hospital random-effect diagnostic","all-hospital random-effect diagnostic","ICU mortality","descriptive likelihood-ratio chi-square","chi-square",0,,,1,13234,1990,"0.000","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendments 17<U+2013>18"
"EICU_RANDOM_SLOPE_SD","Diagnostic","eICU-CRD v2.0","all-hospital uncorrelated P1 random-slope diagnostic","all-hospital uncorrelated P1 random-slope diagnostic","ICU mortality","P1 random-slope standard deviation","SD",3.03042635950427e-07,,,,13234,1990,"0.000","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendments 17<U+2013>18"
"EICU_SELECTION_ESS","Diagnostic","eICU-CRD v2.0","selected primary cohort","selected primary cohort","ICU mortality","selection-weight effective sample size","effective sample size",8968.35486932293,,,,13234,,"8968.4","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendments 17<U+2013>18"
"EICU_SELECTION_FRACTION","Diagnostic","eICU-CRD v2.0","candidate denominator","candidate denominator","ICU mortality","primary model selection percent","percent",19.2360243030321,,,,68798,,"19.24","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendments 17<U+2013>18"
"EICU_SELECTION_MAX_WEIGHT","Diagnostic","eICU-CRD v2.0","selected primary cohort","selected primary cohort","ICU mortality","maximum truncated stabilised weight","weight",3.53318791852922,,,,13234,,"3.533","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendments 17<U+2013>18"
