"result_id","tier","dataset","analysis_population","analysis","outcome","comparison_or_metric","effect_measure","estimate","lower_95","upper_95","p_value","n","events","display_value","destination","submission_status","amendment"
"STRUCT_NHANES_NLR5_P2","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature NLR only","All-cause mortality","P2 vs P3","HR",1.12853060686775,0.875050932310306,1.45543680214679,0.351529371450915,3979,720,"1.13 (0.88<U+2013>1.46)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_SII5_P1","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature SII only","All-cause mortality","P1 vs P3","HR",1.94093165753697,1.58582365486762,2.37555776625345,1.25392414919444e-10,3979,720,"1.94 (1.59<U+2013>2.38)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_SII5_P2","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature SII only","All-cause mortality","P2 vs P3","HR",1.20627814170351,0.941211981505297,1.54599280899984,0.138496709035384,3979,720,"1.21 (0.94<U+2013>1.55)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_K3_STABILITY","Diagnostic","NHANES 2011<U+2013>2018","albumin phenotype cohort","albumin phenotype cohort","Not applicable (diagnostic)","K3 median ARI","ARI",0.689793150689997,0.592634464336232,0.965338223410544,,4637,,"0.69 (0.59<U+2013>0.97)","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 17"
"NHANES_PH_PHENOTYPE","Diagnostic","NHANES 2011<U+2013>2018","fully adjusted Cox","fully adjusted Cox","Not applicable (diagnostic)","phenotype PH test","P value",6.15892737451069,,,0.0459839117949635,3979,720,"6.159","Supplementary methods/results or internal audit only","SUPPLEMENT_OR_INTERNAL","Amendment 17"
"MIMIC_FULL_N","Cohort flow","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Outcome-blind K-means K=3","365-day all-cause mortality","total participants","count",1100,,,,1100,550,"1100","Methods/Results cohort flow; participant table","USE","Amendment 16"
"MIMIC_P1_COUNT","Cohort flow","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Outcome-blind K-means K=3","365-day all-cause mortality","P1 count","count",442,,,,442,264,"442","Methods/Results cohort flow; participant table","USE","Amendment 16"
"MIMIC_P2_COUNT","Cohort flow","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Outcome-blind K-means K=3","365-day all-cause mortality","P2 count","count",257,,,,257,142,"257","Methods/Results cohort flow; participant table","USE","Amendment 16"
"MIMIC_P3_COUNT","Cohort flow","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Outcome-blind K-means K=3","365-day all-cause mortality","P3 count","count",401,,,,401,144,"401","Methods/Results cohort flow; participant table","USE","Amendment 16"
"MIMIC_PRIMARY_P1","Primary","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official OASIS quartile-stratified Cox","365-day all-cause mortality","P1 vs P3","HR",1.80940221557217,1.47256688821559,2.22328534202254,1.67704257885748e-08,1100,550,"1.81 (1.47<U+2013>2.22)","Abstract; main Results; main effect table","USE","Amendment 16"
