k,features_used,preprocessing,clustering,label_rule,seed,outcome_used_for_clustering_or_labels,timing
2,"NLR, SII/SII-like, haemoglobin, albumin, BMI, creatinine",1st/99th winsorisation; log NLR/SII/creatinine; within-database Z scores,K-means Lloyd; K=2; nstart=100; iter.max=500,P1=max inflammation+creatinine score; other cluster=P3; no P2,20260710,FALSE,Added after primary K=3 phenotype and outcome results were known
4,"NLR, SII/SII-like, haemoglobin, albumin, BMI, creatinine",1st/99th winsorisation; log NLR/SII/creatinine; within-database Z scores,K-means Lloyd; K=4; nstart=100; iter.max=500,P1=max inflammation+creatinine; P2=max reserve deficit among remaining; P3=max favorable-reference score among remaining; residual=P4,20260710,FALSE,Added after primary K=3 phenotype and outcome results were known
