dataset,k,nlr_higher,sii_higher,haemoglobin_lower,albumin_lower,bmi_lower,creatinine_higher,core_biological_direction_recovered,p1_effect_measure,p1_estimate,p1_lower_95,p1_upper_95,p1_p_value,mortality_direction_above_one,lower_95_above_one
NHANES,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,HR,1.269061065811061,1.0763777591237569,1.4962367766392475,0.004567995550249733,TRUE,TRUE
NHANES,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HR,1.786764883498476,1.3555709109096625,2.3551174809150783,3.805480236881194e-5,TRUE,TRUE
MIMIC-IV,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HR,1.3309520123455723,1.116108818169799,1.587151028939574,0.0014576220213725845,TRUE,TRUE
MIMIC-IV,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,HR,1.8524958504076356,1.4452106340706607,2.3745610465870133,1.1322749882842639e-6,TRUE,TRUE
eICU,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,OR,1.3767150357346243,1.228740593148069,1.542509704804218,3.5762459808592835e-8,TRUE,TRUE
eICU,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,OR,1.1460276689347446,0.9727032116028579,1.3502365390567257,0.10327268990760227,TRUE,FALSE
