dataset,k,n_clustered,adjusted_rand_index_vs_k3,exact_mapped_label_agreement,primary_k3_p1_n,resolution_p1_n,p1_recall_vs_k3,p1_precision_vs_k3,p1_jaccard_vs_k3
NHANES,2,4637,0.3746611045002826,0.4093163683416002,1152,2146,0.9739583333333334,0.5228331780055918,0.515625
NHANES,4,4637,0.4362303584772192,0.45180073323269354,1152,708,0.5355902777777778,0.8714689265536724,0.49637972646822204
MIMIC-IV,2,1100,0.3946397345485947,0.6463636363636364,442,602,0.9909502262443439,0.7275747508305648,0.7227722772277227
MIMIC-IV,4,1100,0.5619838621930421,0.6581818181818182,442,267,0.4276018099547511,0.7078651685393258,0.36346153846153845
eICU,2,15242,0.3932719951870062,0.6442724051961685,5737,7981,0.9994770786125152,0.7184563337927578,0.718186372745491
eICU,4,15242,0.5536193359437168,0.3929930455320824,5737,3072,0.2670385218755447,0.4986979166666667,0.21052631578947367
