dataset,k,consensus,empirical_cdf
NHANES,5,0.63,0.8098444222111055
NHANES,5,0.64,0.8114822411205603
NHANES,5,0.65,0.813144072036018
NHANES,5,0.66,0.8146863431715858
NHANES,5,0.67,0.8164252126063032
NHANES,5,0.68,0.8182441220610305
NHANES,5,0.6900000000000001,0.8200625312656328
NHANES,5,0.7000000000000001,0.8219409704852426
NHANES,5,0.71,0.8236603301650826
NHANES,5,0.72,0.8254377188594297
NHANES,5,0.73,0.8271340670335168
NHANES,5,0.74,0.8290605302651326
NHANES,5,0.75,0.831207603801901
NHANES,5,0.76,0.8327183591795898
NHANES,5,0.77,0.834624312156078
NHANES,5,0.78,0.8366018009004502
NHANES,5,0.79,0.8383161580790395
NHANES,5,0.8,0.8406998499249625
NHANES,5,0.81,0.8424632316158079
NHANES,5,0.8200000000000001,0.844647823911956
NHANES,5,0.8300000000000001,0.846631815907954
NHANES,5,0.84,0.8490455227613807
NHANES,5,0.85,0.851392696348174
NHANES,5,0.86,0.8537548774387194
NHANES,5,0.87,0.8560815407703852
NHANES,5,0.88,0.8585572786393196
NHANES,5,0.89,0.8609784892446223
NHANES,5,0.9,0.8638384192096048
NHANES,5,0.91,0.8664117058529265
NHANES,5,0.92,0.8693291645822911
NHANES,5,0.93,0.8727503751875938
NHANES,5,0.9400000000000001,0.8769429714857429
NHANES,5,0.9500000000000001,0.881215607803902
NHANES,5,0.96,0.8888859429714857
NHANES,5,0.97,0.8980695347673837
NHANES,5,0.98,0.9021955977988995
NHANES,5,0.99,0.9200845422711356
NHANES,5,1,1
NHANES,6,0,0.7157808904452226
NHANES,6,0.01,0.7157808904452226
NHANES,6,0.02,0.7401265632816408
NHANES,6,0.03,0.7442826413206604
NHANES,6,0.04,0.7530190095047524
NHANES,6,0.05,0.7595767883941971
NHANES,6,0.06,0.7627668834417208
NHANES,6,0.07,0.7667048524262131
NHANES,6,0.08,0.7699859929964983
NHANES,6,0.09,0.7731135567783892
NHANES,6,0.1,0.7762126063031516
NHANES,6,0.11,0.7787103551775888
NHANES,6,0.12,0.7809939969984993
NHANES,6,0.13,0.783104052026013
NHANES,6,0.14,0.7849844922461231
NHANES,6,0.15,0.786943971985993
NHANES,6,0.16,0.788575787893947
NHANES,6,0.17,0.7902786393196598
NHANES,6,0.18,0.7916828414207103
NHANES,6,0.19,0.7932151075537769
NHANES,6,0.2,0.7948284142071036
NHANES,6,0.21,0.7959639819909955
NHANES,6,0.22,0.7970490245122561
NHANES,6,0.23,0.7982766383191596
NHANES,6,0.24,0.7994582291145573
NHANES,6,0.25,0.8007953976988494
NHANES,6,0.26,0.8016898449224612
NHANES,6,0.27,0.802903951975988
NHANES,6,0.28,0.8040300150075037
NHANES,6,0.29,0.8051550775387694
NHANES,6,0.3,0.8064932466233117
NHANES,6,0.31,0.8076603301650825
NHANES,6,0.32,0.8089769884942472
NHANES,6,0.33,0.8103791895947974
NHANES,6,0.34,0.8118144072036018
NHANES,6,0.35000000000000003,0.813152076038019
NHANES,6,0.36,0.814456728364182
NHANES,6,0.37,0.8158274137068534
NHANES,6,0.38,0.8171015507753877
NHANES,6,0.39,0.8183816908454227
NHANES,6,0.4,0.8197818909454727
NHANES,6,0.41000000000000003,0.8208409204602302
NHANES,6,0.42,0.8219309654827414
NHANES,6,0.43,0.8230135067533767
NHANES,6,0.44,0.8242206103051526
NHANES,6,0.45,0.8253726863431716
NHANES,6,0.46,0.8263766883441721
NHANES,6,0.47000000000000003,0.827528264132066
NHANES,6,0.48,0.8285352676338169
NHANES,6,0.49,0.8293551775887944
NHANES,6,0.5,0.8308994497248624
NHANES,6,0.51,0.8316858429214607
NHANES,6,0.52,0.8324672336168084
NHANES,6,0.53,0.8333991995997999
NHANES,6,0.54,0.8344907453726863
NHANES,6,0.55,0.8354692346173087
NHANES,6,0.56,0.8364282141070535
NHANES,6,0.5700000000000001,0.8374217108554277
NHANES,6,0.58,0.8384187093546773
NHANES,6,0.59,0.83935967983992
NHANES,6,0.6,0.8406523261630815
NHANES,6,0.61,0.8415832916458229
NHANES,6,0.62,0.8427303651825913
NHANES,6,0.63,0.843903951975988
NHANES,6,0.64,0.8451625812906454
NHANES,6,0.65,0.8464507253626813
NHANES,6,0.66,0.8475572786393196
NHANES,6,0.67,0.8488569284642321
NHANES,6,0.68,0.8501170585292647
NHANES,6,0.6900000000000001,0.8513091545772886
NHANES,6,0.7000000000000001,0.8525427713856929
NHANES,6,0.71,0.8535782891445722
NHANES,6,0.72,0.8545742871435718
NHANES,6,0.73,0.8555172586293146
NHANES,6,0.74,0.8565157578789395
NHANES,6,0.75,0.8576633316658329
NHANES,6,0.76,0.8584417208604302
NHANES,6,0.77,0.8594012006003001
NHANES,6,0.78,0.8604492246123061
NHANES,6,0.79,0.8613941970985493
NHANES,6,0.8,0.8627063531765883
NHANES,6,0.81,0.8637223611805903
NHANES,6,0.8200000000000001,0.8649979989994997
NHANES,6,0.8300000000000001,0.8661945972986493
NHANES,6,0.84,0.8677028514257129
NHANES,6,0.85,0.8692986493246623
NHANES,6,0.86,0.8708229114557279
NHANES,6,0.87,0.8724042021010505
NHANES,6,0.88,0.8741275637818909
NHANES,6,0.89,0.8760035017508755
NHANES,6,0.9,0.878256128064032
NHANES,6,0.91,0.8803391695847924
