dataset,model,effect_measure,comparison,n,events,estimate,lower_95,upper_95,p_value,effect_95ci
NHANES,Primary fully adjusted complex-survey Cox,HR,P1 vs P3,3979,720,2.081825284902306,1.631161843146012,2.6569996932368243,3.835218175548796e-9,2.082 (1.631-2.657)
NHANES,Primary fully adjusted complex-survey Cox,HR,P2 vs P3,3979,720,1.4875564163192825,1.1478866244943775,1.927737499953337,0.002674348296692323,1.488 (1.148-1.928)
NHANES,Primary model plus standardized log-creatinine component,HR,P1 vs P3,3979,720,1.8804794526882018,1.461901658341685,2.4189061909908682,8.833159607668133e-7,1.880 (1.462-2.419)
NHANES,Primary model plus standardized log-creatinine component,HR,P2 vs P3,3979,720,1.4328015335625952,1.1088368422494759,1.8514177707286537,0.005959679957284192,1.433 (1.109-1.851)
