dataset,cluster_raw,n,nlr,sii,haemoglobin,albumin,bmi,creatinine,p1_score,phenotype_no_bmi
NHANES,3,1051,3,678.5714285714287,12.5,3.9,28.5,1.16,2.6758860611831703,P1
NHANES,2,1760,1.4285714285714286,291.5,13.5,4.1,28.2,0.91,-2.7645636354317698,P2
NHANES,1,1826,2.588235294117647,565.81321839080465,14.45,4.3,27.7,0.89,0.08867757424859957,P3
MIMIC-IV,1,450,19.5666666666667,3855.536585365855,9.4,2.8,27.1,1.5,3.1586315403004157,P1
MIMIC-IV,2,255,3.66831683168317,425.7,8.4,2.8,26.3,1.1,-2.2955344050330675,P2
MIMIC-IV,3,395,7.42857142857143,1342.98701298701,11.7,3.5,27.4,1,-0.8630971352673484,P3
eICU,3,5844,18.066585365853648,3606.460714285715,10.25,2.6,26.36273912311625,1.3,2.4709881834105767,P1
eICU,2,4277,4.92307692307692,750.585585585586,9.4,2.7,27.1131437167008,1.5,-0.8108744363025218,P2
eICU,1,5121,6.86607142857143,1225,12.5,3.3,27.4785591293025,0.94,-1.660113747108054,P3
