dataset,n_clustered,adjusted_rand_index,exact_label_agreement,primary_p1_n,no_bmi_p1_n,p1_recall,p1_precision,p1_jaccard
NHANES,4637,0.7566166230002077,0.9120120767737762,1152,1051,0.8532986111111112,0.9352997145575642,0.8057377049180328
MIMIC-IV,1100,0.9608628167508184,0.9872727272727273,442,450,0.995475113122172,0.9777777777777777,0.9734513274336283
eICU,15242,0.9264968599484179,0.9755937541005117,5737,5844,0.9782116088548022,0.9603011635865846,0.9401909867649523
