index,n,raw_min,raw_p01,raw_median,raw_p99,raw_max,lower_winsor_limit,upper_winsor_limit,n_below_lower_limit,n_above_upper_limit,transformed_min,transformed_max,risk_score_min,risk_score_max
PNI,3979,26,39.5,51,65.1099999999999,1835,39.5,65.1099999999999,36,40,39.5,65.1099999999999,-2.8822226224466765,2.4218652743508673
HALP,3979,5.04,13.889633587786259,49.14,140.88886867304998,5516.55,13.889633587786259,140.88886867304998,40,40,2.6311427768492814,4.947971414173126,-2.4386329251924495,2.8481217190869508
