comparator,n,events,global_phenotype_wald_p,HR,lower_95,upper_95,p_value,hazard_ratio_95ci
PNI,3979,720,4.430634832226594e-5,1.7481712579238076,1.3939691989026963,2.192374658949859,1.3290634550054356e-6,1.75 (1.39-2.19)
HALP,3979,720,1.7252805602873466e-5,1.8816899242951997,1.4695713235613852,2.4093808272015957,5.376569578946351e-7,1.88 (1.47-2.41)
